JavaScript,JavaScript,806
JavaScript,AngularJS,746
Java,Java,741
JavaScript,Node.js,644
Java,Android,618
JavaScript,Android,546
Android,Android,515
SQL,JavaScript,452
JavaScript,Java,447
SQL,Android,434
JavaScript,MongoDB,434
SQL,SQL,432
SQL,AngularJS,429
Java,JavaScript,411
JavaScript,Python,404
SQL,Java,396
Java,AngularJS,373
AngularJS,AngularJS,359
C#,C#,350
SQL,Node.js,348
Python,Python,343
Java,Python,341
JavaScript,SQL,331
SQL,Python,327
Android,Java,325
PHP,PHP,321
PHP,AngularJS,296
Java,Node.js,295
PHP,Android,294
SQL,MongoDB,287
PHP,JavaScript,286
AngularJS,Node.js,280
AngularJS,JavaScript,279
PHP,Node.js,271
JavaScript,PHP,268
Java,Hadoop,268
C#,AngularJS,258
Java,MongoDB,258
Java,SQL,258
JavaScript,C#,248
C#,JavaScript,245
C,Android,244
JavaScript,Hadoop,239
SQL,Hadoop,236
C,Java,226
SQL Server,SQL Server,224
C,Python,222
C++,Android,214
SQL,PHP,213
JavaScript,ReactJS,207
C,C,207
PHP,Python,203
SQL Server,C#,202
Node.js,Node.js,201
SQL Server,AngularJS,201
C++,C++,201
AngularJS,MongoDB,198
JavaScript,SQL Server,196
C#,Android,196
C,C++,196
Android,JavaScript,193
SQL Server,JavaScript,188
JavaScript,"Cloud (AWS, GAE, Azure, etc.)",187
Java,iOS,187
C++,Python,185
PHP,Java,184
PHP,MongoDB,184
SQL,SQL Server,181
JavaScript,iOS,179
C#,SQL Server,179
C++,Java,177
PHP,SQL,175
Android,iOS,173
SQL,C#,172
JavaScript,Ruby,171
SQL Server,Android,169
Node.js,JavaScript,165
AngularJS,Android,159
Python,JavaScript,159
C,JavaScript,158
SQL,"Cloud (AWS, GAE, Azure, etc.)",157
C#,Node.js,157
Node.js,AngularJS,156
Python,Android,154
Android,AngularJS,151
MongoDB,MongoDB,148
Java,C++,148
SQL,iOS,145
MongoDB,Node.js,141
Android,Python,140
iOS,iOS,139
Python,Node.js,136
MongoDB,AngularJS,136
Java,"Cloud (AWS, GAE, Azure, etc.)",136
Java,C,133
MongoDB,JavaScript,132
C++,JavaScript,131
SQL Server,SQL,129
AngularJS,Java,127
Android,Node.js,126
SQL Server,Node.js,124
iOS,Swift,123
JavaScript,C++,122
Node.js,MongoDB,122
Java,PHP,121
C++,C,118
SQL,Ruby,115
Python,Java,113
Python,AngularJS,112
C,SQL,111
PHP,iOS,110
C#,SQL,109
Python,MongoDB,107
SQL,C++,105
C#,Python,105
Objective-C,Swift,105
Java,Swift,105
Java,Scala,104
JavaScript,Swift,102
AngularJS,Python,102
AngularJS,ReactJS,102
PHP,Hadoop,101
WordPress,AngularJS,100
C#,MongoDB,97
LAMP,Node.js,97
JavaScript,Arduino / Raspberry Pi,96
Android,MongoDB,96
Android,Swift,96
C++,SQL,96
C,AngularJS,94
C#,Java,93
Android,SQL,93
Java,Ruby,93
PHP,Ruby,92
SQL Server,MongoDB,92
Android,PHP,92
Objective-C,iOS,92
C,Node.js,92
JavaScript,C,90
Node.js,Android,89
C#,"Cloud (AWS, GAE, Azure, etc.)",88
Python,C++,88
PHP,WordPress,88
Java,Arduino / Raspberry Pi,88
JavaScript,Go,87
Python,Hadoop,87
JavaScript,WordPress,85
SQL Server,Java,84
WordPress,JavaScript,83
C++,Node.js,83
MongoDB,Android,80
Objective-C,Objective-C,80
SQL,C,79
C,PHP,79
JavaScript,Windows Phone,78
AngularJS,SQL,78
SQL Server,Python,78
WordPress,PHP,78
C++,AngularJS,78
JavaScript,Cordova,77
WordPress,Android,77
Java,SQL Server,77
iOS,Objective-C,76
AngularJS,Hadoop,74
Android,Hadoop,74
iOS,Android,74
Java,R,74
JavaScript,Redis,72
LAMP,AngularJS,72
WordPress,Node.js,72
Java,C#,72
C#,Windows Phone,71
C,C#,71
LAMP,JavaScript,70
C,Hadoop,70
SQL Server,Hadoop,69
Python,R,68
Android,C++,68
SQL,R,67
Node.js,Python,67
Python,C,67
JavaScript,R,66
Node.js,ReactJS,66
SQL Server,"Cloud (AWS, GAE, Azure, etc.)",66
MongoDB,Java,66
LAMP,PHP,65
MongoDB,Python,65
C,iOS,65
SQL,ReactJS,64
SQL,Swift,63
Swift,Swift,63
C#,iOS,61
PHP,LAMP,61
C++,C#,61
Java,ReactJS,61
JavaScript,Scala,60
PHP,"Cloud (AWS, GAE, Azure, etc.)",60
C,MongoDB,60
C++,PHP,60
SQL,Arduino / Raspberry Pi,59
JavaScript,LAMP,59
C#,Hadoop,59
Android,Arduino / Raspberry Pi,59
"Cloud (AWS, GAE, Azure, etc.)","Cloud (AWS, GAE, Azure, etc.)",59
Java,Spark,59
LAMP,Python,58
Java,Go,58
SQL,Windows Phone,57
Python,Ruby,57
Python,"Cloud (AWS, GAE, Azure, etc.)",57
Python,SQL,57
LAMP,Android,57
LAMP,MongoDB,57
C++,iOS,57
C++,MongoDB,57
C++,Hadoop,56
AngularJS,PHP,55
Node.js,Java,55
PHP,C++,53
MongoDB,Hadoop,53
AngularJS,C#,52
Android,"Cloud (AWS, GAE, Azure, etc.)",52
Visual Basic,C#,52
SQL,WordPress,50
AngularJS,"Cloud (AWS, GAE, Azure, etc.)",50
C,"Cloud (AWS, GAE, Azure, etc.)",50
WordPress,MongoDB,49
WordPress,WordPress,49
Swift,iOS,49
C,SQL Server,49
AngularJS,Ruby,48
PHP,ReactJS,48
Android,C,47
PHP,Swift,46
C,Swift,46
Python,Arduino / Raspberry Pi,45
Objective-C,Android,45
C,Ruby,45
Visual Basic,Android,44
SQL,Redis,43
SQL,Scala,43
JavaScript,Objective-C,43
Ruby,Ruby,43
SQL Server,Windows Phone,43
